Austin Hedges|1,416|0.017|0.003|3.6|0.7|923|0.000|0.0|13|0.000|-0.013|0.1|3.7|3.8
Yan Gomes|1,229|0.018|0.004|3.4|0.7|747|0.000|0.0|9|0.000|-0.005|0.0|3.4|3.6
Yasmani Grandal|1,491|0.012|0.004|2.8|0.8|971|0.000|0.0|14|0.000|-0.002|0.0|2.8|2.6
Mike Zunino|782|0.023|0.004|2.8|0.5|644|0.000|0.0|10|-0.000|0.002|0.0|2.8|2.8
Jeff Mathis|794|0.022|0.003|2.7|0.3|549|0.000|0.0|4|-0.000|-0.008|0.0|2.7|3.3
Tony Wolters|772|0.021|0.003|2.5|0.4|528|0.000|0.0|7|-0.000|0.002|0.0|2.5|2.9
Wilson Ramos|1,358|0.012|0.005|2.4|1.1|938|0.000|0.0|10|0.000|0.003|-0.0|2.4|2.3
Yadier Molina|1,958|0.007|0.003|2.2|1.0|1244|0.000|0.0|3|0.000|-0.012|0.1|2.3|1.8
Luke Maile|865|0.015|0.005|2.0|0.6|650|0.000|0.0|7|0.000|0.001|-0.0|2.0|2.2
Alex Avila|956|0.013|0.003|1.9|0.5|651|0.000|0.0|7|0.000|-0.002|0.0|1.9|1.6
Max Stassi|750|0.015|0.004|1.7|0.5|462|0.000|0.0|3|0.000|-0.009|0.0|1.8|1.6
Jason Castro|1,172|0.009|0.004|1.6|0.7|953|0.000|0.0|14|-0.000|-0.010|0.0|1.6|1.9
Jorge Alfaro|1,175|0.009|0.004|1.6|0.8|745|0.000|0.0|19|0.000|0.019|-0.0|1.6|2.7
Russell Martin|1,434|0.007|0.003|1.5|0.7|1013|0.000|0.0|19|0.000|-0.000|0.0|1.5|1.4
Gary Sanchez|1,480|0.007|0.005|1.5|1.1|1009|0.000|0.0|10|-0.000|0.013|0.0|1.5|1.5
Austin Barnes|473|0.017|0.006|1.3|0.4|294|0.000|0.0|6|0.000|-0.002|0.0|1.3|2.0
Buster Posey|1,542|0.005|0.002|1.1|0.4|851|0.000|0.0|10|-0.000|-0.012|0.1|1.2|1.0
Travis D'arnaud|343|0.019|0.005|1.0|0.3|218|0.000|0.0|8|0.000|0.012|-0.0|1.0|0.9
Pedro Severino|1,035|0.006|0.004|0.9|0.6|681|0.000|0.0|9|-0.000|0.008|0.0|0.9|0.9
Chad Wallach|588|0.009|0.003|0.9|0.3|363|0.000|0.0|6|-0.000|-0.003|0.0|0.9|0.9
Roberto Perez|763|0.007|0.002|0.8|0.2|478|0.000|0.0|6|0.000|-0.004|0.0|0.9|0.7
Austin Romine|687|0.008|0.002|0.8|0.2|534|0.000|0.0|4|0.000|-0.006|0.0|0.8|0.6
John Ryan Murphy|385|0.014|0.006|0.8|0.3|231|0.000|0.0|5|-0.000|0.008|0.0|0.8|0.7
Sandy Leon|570|0.008|0.006|0.7|0.5|392|0.000|0.0|4|0.000|-0.000|0.0|0.7|0.7
Christian Vazquez|1,604|0.003|0.002|0.6|0.6|1012|0.000|0.0|10|0.000|-0.009|0.0|0.7|0.4
Rene Rivera|709|0.006|0.002|0.7|0.3|546|0.000|0.0|3|-0.000|-0.001|0.0|0.7|0.9
Tyler Flowers|203|0.013|0.003|0.4|0.1|156|0.000|0.0|1|0.000|-0.001|0.0|0.4|0.7
Cameron Gallagher|338|0.007|0.005|0.4|0.2|230|0.000|0.0|4|0.000|-0.001|0.0|0.4|0.3
Bryan Holaday|670|0.003|0.003|0.3|0.3|486|0.000|0.0|11|-0.000|0.014|0.0|0.3|0.6
Miguel Montero|187|0.006|0.006|0.2|0.2|125|0.000|0.0|1|0.000|-0.000|0.0|0.2|0.1
Caleb Joseph|1,217|0.001|0.003|0.2|0.6|954|0.000|0.0|14|0.000|0.002|-0.0|0.2|-0.2
Jose Lobaton|696|0.001|0.008|0.1|0.8|456|0.000|0.0|13|0.000|-0.001|0.0|0.1|-0.0
Jacob Nottingham|102|0.001|0.008|0.0|0.1|79|0.000|0.0||0.000|-0.003|0.0|0.0|-0.0
Francisco Pena|94|-0.002|0.004|-0.0|0.1|101|0.000|0.0||0.000|0.003|0.0|-0.0|-0.1
Rafael Lopez|70|-0.005|0.004|-0.1|0.0|41|0.000|0.0|2|0.000|0.004|-0.0|-0.1|-0.1
Victor Caratini|337|-0.001|0.004|-0.1|0.2|187|0.000|0.0|7|0.000|0.007|-0.0|-0.1|0.4
Tomas Nido|568|-0.001|0.008|-0.1|0.7|382|0.000|0.0|12|-0.000|0.007|0.0|-0.1|-0.1
Jesus Sucre|618|-0.001|0.003|-0.1|0.3|469|0.000|0.0|4|0.000|0.001|-0.0|-0.1|-0.2
Jett Bandy|906|-0.001|0.005|-0.1|0.7|568|0.000|0.0|6|-0.000|-0.005|0.0|-0.1|-0.3
Chris Stewart|219|-0.004|0.004|-0.1|0.1|157|0.000|0.0|4|0.000|0.006|-0.0|-0.1|-0.2
Brian Mccann|1,316|-0.001|0.002|-0.2|0.4|944|0.000|0.0|13|0.000|0.004|-0.0|-0.2|-0.2
Kevin Plawecki|480|-0.004|0.001|-0.3|0.1|294|0.000|0.0|4|0.000|-0.001|0.0|-0.3|-0.2
Juan Centeno|622|-0.004|0.004|-0.4|0.4|403|0.000|0.0||0.000|0.001|0.0|-0.4|-0.5
Michael Marjama|540|-0.005|0.004|-0.4|0.3|347|0.000|0.0|2|0.000|0.004|-0.0|-0.4|-0.4
James Mccann|1,646|-0.002|0.003|-0.5|0.8|1036|0.000|0.0|14|-0.000|-0.007|0.0|-0.5|-0.6
Matt Wieters|898|-0.004|0.006|-0.5|0.8|603|0.000|0.0|10|-0.000|-0.000|0.0|-0.5|-0.8
John Hicks|465|-0.008|0.004|-0.6|0.3|358|0.000|0.0|5|-0.000|-0.006|0.0|-0.6|0.0
J.t. Realmuto|990|-0.005|0.006|-0.8|0.9|662|0.000|0.0|5|-0.000|-0.005|0.0|-0.8|-0.9
Elias Diaz|523|-0.010|0.005|-0.8|0.4|356|0.000|0.0|3|0.000|-0.001|0.0|-0.8|-0.7
Chance Sisco|965|-0.006|0.002|-0.8|0.4|671|0.000|0.0|13|-0.000|0.007|0.0|-0.8|-1.1
Salvador Perez|636|-0.009|0.004|-0.9|0.3|430|0.000|0.0|5|-0.000|-0.006|0.0|-0.9|-0.6
